Source,JobTitle_EN,JobTitle_GE,Skills,Description
Global (popular entry-level),Sales Associate,,Customer service; Communication; POS systems; Cash handling; Product knowledge; Upselling; Teamwork; Attention to detail,Supports day-to-day tasks as a Sales Associate in a store or sales environment. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Retail Cashier,,Customer service; Communication; POS systems; Cash handling; Product knowledge; Upselling,Supports day-to-day tasks as a Retail Cashier in a store or sales environment. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Store Associate,,Customer service; Communication; POS systems; Cash handling; Product knowledge; Upselling; Teamwork; Attention to detail,Supports day-to-day tasks as a Store Associate in a store or sales environment. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Customer Service Representative,,Active listening; Problem solving; CRM tools; Written communication; Phone etiquette; Empathy; Time management; Conflict resolution,"Supports day-to-day tasks as a Customer Service Representative supporting customers across phone, chat, or email. Great for building core professional skills through structured routines and clear responsibilities."
Global (popular entry-level),Call Center Agent,,Active listening; Problem solving; CRM tools; Written communication; Phone etiquette; Empathy; Time management; Conflict resolution,"Supports day-to-day tasks as a Call Center Agent supporting customers across phone, chat, or email. Great for building core professional skills through structured routines and clear responsibilities."
Global (popular entry-level),Chat Support Agent,,Active listening; Problem solving; CRM tools; Written communication; Phone etiquette; Empathy; Time management; Conflict resolution,"Supports day-to-day tasks as a Chat Support Agent supporting customers across phone, chat, or email. Great for building core professional skills through structured routines and clear responsibilities."
Global (popular entry-level),Receptionist,,MS Office; Email etiquette; Scheduling; Organization; Data entry; Attention to detail; Document management,Supports day-to-day tasks as a Receptionist in an office environment. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Office Assistant,,MS Office; Email etiquette; Scheduling; Organization; Data entry; Attention to detail,Supports day-to-day tasks as a Office Assistant in an office environment. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Administrative Assistant,,MS Office; Email etiquette; Scheduling; Organization; Data entry; Attention to detail; Document management,Supports day-to-day tasks as a Administrative Assistant in an office environment. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Data Entry Clerk,,MS Office; Email etiquette; Scheduling; Organization; Data entry; Attention to detail; Document management; Communication,Supports day-to-day tasks as a Data Entry Clerk in an office environment. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Warehouse Associate,,Accuracy; Physical stamina; Inventory handling; Packing; Basic math; Teamwork; Safety awareness,Supports day-to-day tasks as a Warehouse Associate in warehouses and supply operations. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Order Picker,,Accuracy; Physical stamina; Inventory handling; Packing; Basic math; Teamwork,Supports day-to-day tasks as a Order Picker in warehouses and supply operations. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Packer,,Accuracy; Physical stamina; Inventory handling; Packing; Basic math; Teamwork,Supports day-to-day tasks as a Packer in warehouses and supply operations. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Inventory Associate,,Accuracy; Physical stamina; Inventory handling; Packing; Basic math; Teamwork; Safety awareness; Time management,Supports day-to-day tasks as a Inventory Associate in warehouses and supply operations. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Delivery Driver,,Navigation; Time management; Customer service; Cash handling; Safe driving; Reliability; Problem solving,Supports day-to-day tasks as a Delivery Driver delivering items and coordinating last-mile tasks. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Courier,,Navigation; Time management; Customer service; Cash handling; Safe driving; Reliability; Problem solving,Supports day-to-day tasks as a Courier delivering items and coordinating last-mile tasks. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Food Delivery Rider,,Navigation; Time management; Customer service; Cash handling; Safe driving; Reliability; Problem solving,Supports day-to-day tasks as a Food Delivery Rider delivering items and coordinating last-mile tasks. Great for building core professional skills through structured routines and clear responsibilities.
Global (popular entry-level),Barista,,Customer service; Multitasking; Speed; Food safety; Hygiene; Teamwork,"Supports day-to-day tasks as a Barista in cafés, restaurants, or hotels. Great for building core professional skills through structured routines and clear responsibilities."
Global (popular entry-level),Waiter/Waitress,,Customer service; Multitasking; Speed; Food safety; Hygiene; Teamwork,"Supports day-to-day tasks as a Waiter/Waitress in cafés, restaurants, or hotels. Great for building core professional skills through structured routines and clear responsibilities."
Global (popular entry-level),Host/Hostess,,Customer service; Multitasking; Speed; Food safety; Hygiene; Teamwork; Time management,"Supports day-to-day tasks as a Host/Hostess in cafés, restaurants, or hotels. Great for building core professional skills through structured routines and clear responsibilities."
Global (popular entry-level),Kitchen Assistant,,Customer service; Multitasking; Speed; Food safety; Hygiene; Teamwork,"Supports day-to-day tasks as a Kitchen Assistant in cafés, restaurants, or hotels. Great for building core professional skills through structured routines and clear responsibilities."
Global (popular entry-level),Dishwasher,,Customer service; Multitasking; Speed; Food safety; Hygiene; Teamwork,"Supports day-to-day tasks as a Dishwasher in cafés, restaurants, or hotels. Great for building core professional skills through structured routines and clear responsibilities."
